0.003,84.6,36.9,54.834,35.021,35.568,1,0.025,1,1
0.004,84.6,36.9,55.129,35.13,35.568,1,0.025,1,1
0.005,84.6,36.9,54.981,35.021,35.679,0,0.025,1,1
0.006,84.6,36.9,54.981,35.021,35.568,1,0.025,1,1
0.006,84.6,36.9,54.981,35.021,35.568,1,0.025,1,1
0.006,84.6,36.9,54.981,35.13,35.458,1,0.025,1,1
0.003,84.6,36.9,54.834,35.13,35.568,1,0.025,1,1
0.001,84.6,36.9,54.981,35.13,35.568,1,0.025,1,1
0.003,84.6,36.9,55.277,35.021,35.568,1,0.025,1,1
0.006,84.6,36.9,55.129,35.13,35.568,0,0.025,1,1
0.004,84.6,36.9,55.129,35.13,35.568,0,0.025,1,1
0.004,84.6,36.9,55.129,35.13,35.679,0,0.025,1,1
0.004,84.6,36.9,55.426,35.13,35.568,0,0.025,1,1
0.004,84.6,36.9,55.277,35.13,35.568,0,0.025,0,1
0.005,84.6,36.9,55.426,35.13,35.568,0,0.025,0,1
0.005,84.6,36.9,55.277,35.021,35.568,0,0.025,0,1
0.005,84.6,36.9,55.129,35.13,35.568,0,0.025,0,1
0.006,84.6,36.9,55.277,35.13,35.679,0,0.025,0,1
0.002,84.6,36.9,55.277,35.13,35.568,0,0.025,0,1
0.003,84.6,36.9,55.277,35.13,35.568,0,0.025,0,1
0.003,84.6,36.9,55.129,35.13,35.568,0,0.025,0,1
0.003,84.6,36.9,55.129,35.13,35.568,0,0.025,0,1
0.004,84.6,36.9,54.981,35.13,35.568,0,0.025,0,1
0.002,84.6,36.9,55.277,35.13,35.568,1,0.025,1,1
0.005,84.6,36.9,55.277,35.021,35.568,0,0.025,1,1
0.005,84.6,36.9,54.981,35.13,35.568,0,0.025,1,1
0.005,84.6,36.9,54.834,35.239,35.568,1,0.025,1,1
0.005,84.6,36.9,54.834,35.13,35.568,1,0.025,1,1
0.004,84.6,36.9,54.981,35.13,35.568,1,0.025,1,1
0.005,84.6,36.9,54.834,35.021,35.568,1,0.025,1,1
0.005,84.6,36.9,54.834,35.13,35.679,1,0.025,1,1
0.001,84.6,36.9,54.834,35.13,35.679,1,0.025,1,1
0.002,84.6,36.9,54.981,35.239,35.568,1,0.025,1,1
0.001,84.6,36.9,54.981,35.021,35.568,1,0.025,1,1
0.001,84.6,36.9,54.981,35.13,35.679,1,0.025,1,1
0.002,84.6,36.9,55.129,35.13,35.679,1,0.025,1,1
0.001,84.6,36.9,55.129,35.13,35.568,0,0.025,1,1
0,84.6,36.9,54.834,35.13,35.568,0,0.025,1,1
0,84.6,36.9,55.129,35.13,35.568,1,0.025,1,1
0,84.6,36.9,55.129,35.239,35.568,0,0.025,1,1
0.002,84.6,36.9,55.277,35.13,35.679,0,0.025,1,1
0.004,84.6,36.9,55.129,35.13,35.679,0,0.025,1,1
0.006,84.6,36.9,55.129,35.13,35.568,0,0.025,1,1
0.004,84.6,36.9,55.277,35.13,35.679,0,0.025,0,1
0.004,84.6,36.9,55.277,35.13,35.679,0,0.025,0,1
0.008,84.6,36.9,55.277,35.13,35.568,0,0.025,0,1
0.008,84.6,36.9,55.277,35.021,35.568,0,0.025,0,1
